SKU,Description,imgurl,productname
,"Our passion to offer a wide array of premium Cricket Balls to our esteemed clients has enabled us to present Super Test Cricket Ball that is made from the finest grades of vegetarian leather and other raw materials that are procured from the authorized vendors of the domain. We use cutting edge technologies and manufacture these balls with completely automatic process to ensure uniformity and perfection of shape and other dimensions. These have robust stitching and flawless finish. Our valued clients can avail these at reasonable rates.Features:  Dependable performance Outstanding finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/ME/CE/MY-3458336/cricket-ball-bdm-super-test-250x250.jpg,Super Test Cricket Ball
,"Our prestigious clients are being offered a wide array of Cricket Batting Pad such as Cricket Batting Pad BDM Admiral that guarantees professional grade safety with 9 foam bar protection and 35 degree pre-curved hat. These are fitted with Pro-fibertec inserts creating additional anti shock protection. It offers wider leg protection with ankle and calf straps to prevent Achilles and calf muscle strains.  It facilitates extra comfort with Knee-flex design on middle knee roll as well as thread straps and it can be easily wiped clean. These pads have durable leather instep and can be availed at reasonable prices.Features:  Lightweight and sturdy design Flawless finish Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/HX/IG/MY-3458336/cr-bl-admiral-super-test-250x250.jpg,Cricket Batting Pad BDM Admiral
,"Our prestigious customers are being presented with a fine array of Cricket Batting Gloves including Titanium Batting Gloves that is designed in adherence with the latest trends and manufactured with specially selected finest grades of ship skin and are provided with flexible flaps for added protection with comfort. These have a traditional split finger style and fiber stick insert to the first two fingers at the bottom of the hand with two piece thumb for unmatched comfort as well as flexibility. These can be availed at reasonable prices.Features:  Extremely comfortable Remarkable flexibility Other Information
			Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/GL/CY/MY-3458336/cr-batting-gloves-titanium-250x250.jpg,Titanium Batting Gloves
,"Our reputation as one of the most trusted manufacturers, suppliers, and exporters of an impressive gamut of Cricket Batting Gloves has enabled us to offer Master Blaster Batting Gloves that is designed for seamless protection in club cricket. These are traditional style pads with nylon gusseted sides &amp; Velcro fasteners and have extra flap on first two fingers for added protection. Features:  Flawless finish Highly flexible Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/JU/BC/MY-3458336/cricket-batting-gloves-bdm-master-blaster-250x250.jpg,Master Blaster Batting Gloves
,"Our sound reputation as one of the most reputed manufacturers, suppliers, and exporters of a wide spectrum of Cricket Club Kit has enabled us to offer premium Cricket Kit Bag BDM Wheeler. These bags are made from the finest grades of materials such as Tetron and are provided with robust and heavy duty wheels for ease of transportation. These bags have durable and tough construction and can withstand very rough use also. These are subjected to stringent quality checks and offered in various specifications. Our prestigious clients can avail these at reasonable rates.Features:  Sturdy construction Robust stitching Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/KV/GF/MY-3458336/cricket-kit-bag-bdm-wheeler-250x250.jpg,Cricket Kit Bag BDM Wheeler
,"Our sound reputation of one of the foremost manufacturers, suppliers, and exporters of an huge gamut of Cricket Equipment has enabled us to offer as Cricket Cap. These are manufactured from the highest grades of raw materials in our state of the art manufacturing facilities by using cutting edge technologies. We strictly follow rigid norms of quality in accordance with well defined industry standards and offer a flawless range of these products to our valuable clients at reasonable prices.Features:  Seamless protection Long service life Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/OO/KQ/MY-3458336/cap-250x250.jpg,Cricket Cap
,"Our sound reputation of one of the foremost manufacturers, suppliers, and exporters of huge gamut of Cricket Equipments has enabled us to offer as Cricket Socks. These are manufactured from the highest grades of raw materials in our state of the art manufacturing facilities by using cutting edge technologies. We strictly follow rigid norms of quality in accordance with well defined industry standards and offer a flawless range of these products to our valuable clients at reasonable prices.Features:  Seamless protection Long service life Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/FF/XM/MY-3458336/socks-250x250.jpg,Cricket Socks
,"Our valued clients are being offered a wide choice of Cricket Bats including Terminator Cricket Bat that is made from grade 1 seasoned English Willow homegrown in UK. It has BDM Powerarc Blade with aerodynamic design and an extra swell behind the sweet spot. It perfectly balanced and provided with unique Shock Absorba Acttop Grip. It has top quality treble spring handle made from 12 straight grains for excellent feel, flex, and control. It is available as medium, heavy, and extra heavy with unbleached super smooth wax finish.Features:  Hand crafted Titanium Powerarc Blade  Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+ Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/QF/JR/MY-3458336/terminator-2-250x250.jpg,Terminator Cricket Bat
,"Our valued clients can avail of a supreme range of Cricket Batting Pad including Cricket Batting Pad Legguards BDM Mansfield that is designed for assured safety and are super lightweight with 4 ribs made from the finest grades of PU and reinforced with fiber. We use the best grades of fabric and foam to manufacture these by using high end technologies. These are made under rigid standards of quality in accordance with well defined industry norms. Our esteemed patrons can avail these at very reasonable rates.Features:  Robust deign Center with Velcro straps Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/LR/KU/MY-3458336/cricket-batting-legguards-bdm-mansfield-250x250.jpg,Cricket Batting Legguards BDM Mansfield
,"Our valued clients can avail of a supreme range of Cricket Wicket Keeping Pad including Cricket Wicket keeping Pad BDM Armstrong that is designed for assured safety and are super lightweight with 7 cane ribs with horizontal bolsters and Velcro straps. These are made from the finest grades of PU and reinforced with fiber. We use the best grades of fabric and foam to manufacture these by using high end technologies. These are made under rigid standards of quality in accordance with well defined industry norms. Our esteemed patrons can avail these at very reasonable rates.Features:  Robust deign Center with Velcro straps Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/FJ/BN/MY-3458336/cricket-batting-legguards-bdm-armstrong-250x250.jpg,Cricket Wicket keeping Pad BDM Armstrong
,"Our wide array of Cricket Accessories consists of premium quality Cricket Helmet. We use the finest grades of raw materials and employ cutting edge technologies to manufacture these helmets. These are super lightweight and comfortable. These are highly impact resistant and offer seamless protection. Our products are highly acclaimed and extensively used by the leading names in the world of cricket on account of striking features. We offer these in different varieties to our valued clients.Features:  Robust and lightweight Long service life Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/OS/KA/MY-3458336/cricket-accessories-250x250.jpg,Cricket Helmet
,"To provide protection to the legs during the cricket match, we provide superior quality Cricket Batting Pad BDM Master Blaster. We use superior quality synthetic, wood and fiber for making these cricket batting pads. Our cricket pads have highly durable straps, good thickness and fine wax finish.Features:   Unmatched comfort   Light weight   Durability  Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/QN/AS/MY-3458336/cricket-batting-pad-bdm-master-blaster-250x250.jpg,Cricket Batting Pad BDM Master Blaster
,"We are a trusted name in manufacturing, supplying and exporting a broad spectrum of Cricket Ball for Cricket Academy. This ball is fabricated by our skilled experts using the finest quality factor inputs.Features:  Perfect and robust stitch Flawless finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/BT/UJ/MY-3458336/cricket-ball-for-cricket-academy-250x250.jpg,Cricket Ball for Cricket Academy
,"We are among the most trusted names in all Cricket Wicket Keeping Pad BDM Galaxy manufacturers. We manufacture our Wicket Keeping Pad using high quality material with immense care. Our cricket wicket keeping gloves come in an inimitable collection.Features:   Flat foam design for Superior protection  Easy wipe clean fronts Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/TI/VU/MY-3458336/cricket-wicket-keeping-pad-bdm-galaxy-250x250.jpg,Cricket Wicket Keeping Pad BDM Galaxy
,"We are backed by a vast domain knowledge and immense technological expertise to offer an entire gamut of Cricket Balls including White Cricket Ball that is made from the finest grades of raw materials such as alum tanned leather that is water proof compressed leather. The leather is pre-stretched and robustly stitched with 80 stitches of pre-waxed twisted cotton thread. It has a new composite cork core that has a controlled bounce and offers perfect hardness. Our cutting edge automation process ensures uniform pressure of 1400 lb uniformly to the compressed and stretched leather. The ball is made in accordance with ICC/ MCC rules, U-15, U-19, U22, Ranji Trophy regulations and is tested as well as approved by R &amp; D Center, Govt. of India.Features: 
Perfect and robust stitchFlawless finishOther Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/ND/XR/MY-3458336/white-cricket-ball-250x250.jpg,White Cricket Ball
,"We are backed by our immense domain knowledge to present a broad collection of Cricket Bat that includes Cricket Bat BDM Dynamic Power that is made from naturally seasoned English Willow and is one of the top line bats with power arc blade preferred by leading players for match play. It has a top grade Manau cane handle designed for feel, flex, and control and has an amazingly redistributed weight. It is ready to play since it is pre knocked for a fine performance and comes with full bat cover that is padded for protection.Features:  Toe guard to prevent wear and tear Pre-knocked Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/IF/PP/MY-3458336/bdm-dynamic-power-250x250.jpg,Cricket Bat BDM Dynamic Power
,"We are driven by a strong penchant to offer a wide array of premium Cricket Balls to our esteemed clients and we present Cricket Ball BDM Olympic that is made from the highest grades of vegetarian leather and other raw materials that are procured from the authorized vendors of the domain. We use cutting edge technologies and manufacture these balls with totally automatic process to ensure uniformity and perfection of shape and other dimensions. These have sturdy stitching and seamless finish. Our valued clients can avail these at reasonable rates.Features:  Dependable performance Outstanding finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/SM/VK/MY-3458336/cricket-ball-bdm-olympic-250x250.jpg,Cricket Ball BDM Olympic
,"We are engaged in manufacture, supply, and export of a wide array of Cricket Bats such as World Cup Cricket Bat that is made from the finest handpicked willow wood and is from our collection of Kashmir Willow. It has been designed for a perfect balance and the grip that offers outstanding feel, flex, and control. It perfectly contoured for fine performance and can be availed at reasonable rates by our prestigious clients.Features:  Light pick up Handcrafted Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/IB/WW/MY-3458336/cricket-bat-bdm-world-cup-250x250.jpg,World Cup Cricket Bat
,"We are highly regarded as one of the leading names in manufacture, supply, and export of a premium array of Cricket Equipments including Cricket Inner Gloves. These are extensively used by players and appreciated for comfort and protection. We use the finest grades of fabric and produce these by using high end technologies. These are available in various specifications at very attractive prices.Features:  Flawless finish Long service life Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/GV/WB/MY-3458336/cricket-inner-gloves-250x250.jpg,Cricket Inner Gloves
,"We are highly regarded as one of the most trusted manufacturers, suppliers, and exporters of a wide spectrum of Cricket Club Kit and are offering supreme Cricket Kit Bag BDM Dynamic Power. These bags are made from the best grades of materials such as Tetron and are sufficiently large to accommodate complete cricket kit to be carried to the venue. These bags have durable and tough construction and can withstand very rough use also. We ensure rigid levels if quality norms that are in accordance with international standards. Features:Features:  Robust construction Sturdy and durable stitching  Specification:  Size: 34” x 12” x 12” Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/YJ/EI/MY-3458336/cricket-kit-bag-bdm-dynamic-power-250x250.jpg,Cricket Kit Bag BDM Dynamic Power
,"We are offering a broad range of Cricket Bats such as Fire Cricket Bat that is made from the finest raw materials and has thick edges and bulge. This bat belongs to the Extra Thick Bulge &amp; Extra Thick Edges Bat Series that designed for supreme batting power. It has a well groomed handle that powers the batsman with added feel, flex, and control. It offers striking cosmetic looks. These are manufactured by following stringent quality controls and made by using cutting edge technologies. Features:  Seamless balance Outstanding stroke power Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/VF/RD/MY-3458336/fire-250x250.jpg,Fire Cricket Bat
,"We are offering a premium array of Cricket Accessories including Cricket Batting Pad that is designed for assured safety with 7 reinforced super-lite rib s and facing extra wider for seamless protection. These have double wings and a Velcro strap at centre for excellent hold. We use the best grades of fabric and foam to manufacture these by using high end technologies. These are made under stringent norms of quality in accordance with well defined industry norms. Our esteemed patrons can avail these at very reasonable rates.Features:  Robust construction Lightweight and extra wide Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/XP/SP/MY-3458336/cr-bl-aero-dynamic-250x250.jpg,Cricket Batting Pad
,"We are presenting a huge array of Cricket Wicket Pads that includes Cricket Wicket Keeping Pad BDM Admiral. These are made by using the best grades of Polyurethane in our state of the art manufacturing facilities by using high end technologies. Our stringent norms of quality are in line with the set standards of the industry. These pads are provided with double sponge bolsters for added protection and comfort. Our patrons can avail these at industry leading prices.Features:  Durable and lightweight Robust construction Other Information
			Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/NE/KM/MY-3458336/wicket-keeping-gloves-admiral-250x250.jpg,Cricket Wicket Keeping Pad BDM Admiral
,"We are presenting a vast array of premium Cricket Bats such as Sports Cricket Bat (Untamed). It is made by using very rare and the finest grade 1+ English Willow and has a short handle with Men’s size made from 8 to12 straight grains for remarkable feel, flex, and control. It has been provided with a larger sweet spot for added power to the stroke and is aero dynamically designed for flawless performance while playing strokes. It has BDM Power Ark Blade and is presented as un bleached, and wax polished for super smooth finish.Features:  Seamless stroke power Finely balanced  Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Men’s size made from 8 to12 straight Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/GA/YN/MY-3458336/untamed-250x250.jpg,Sports Cricket Bat
,"We are presenting a wide assortment of Cricket Bats such as Cricket Bat BDM Master Blaster. This is designed for all round hitting and has been provided with an extra large bulge at the back of the bat that is extended right up to the splice area to give an amazing hitting power for the batsman. These are extensively demanded in Asian markets and manufactured from selected mid grade English Willow and fitted with 9 ply round cane handle for a remarkable grip.Features:  Amazing hitting power Comes with toe guard and bat cover    Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+   Other Information
			Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/FC/RC/MY-3458336/cricket-bat-master-blaster-250x250.jpg,Cricket Bat BDM Master Blaster
,"We are reckoned as foremost manufacturers, suppliers, and exporters of Cricket Batting Pad such as Cricket Batting Pad Leggguards (BDM Xplod Club) that guarantees professional grade safety with 9 foam bar protection and 35 degree pre-curved hat. These are fitted with Pro-fibertec inserts creating extra anti shock protection. It offers wider leg protection with ankle and calf straps to prevent Achilles and calf muscle strains. It facilitates extra comfort with Knee-flex design on middle knee roll as well as thread straps and it can be easily wiped clean. These pads have durable leather instep and we are offering these at industry leading rates.Features:  Unmatched protection and comfort Flawless finish Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/CE/XV/MY-3458336/cricket-batting-legguards-bdm-xplod-club-250x250.jpg,Cricket Batting Leg Guards
,"We are reckoned as one of the most established manufacturers, suppliers, and exporters of a wide array of Cricket Club Kit that consists of Cricket Club Kit BDM that is an exhaustive collection of cricket equipment to cater to the needs of team. These kits are complete sets of the necessary items such as Cricket Bat, Cricket Ball, Batting Pad, Batting, Gloves, Cricket Helmet, Gloves, Protection Equipment, and so forth. We produce these kits by using the best grades of raw materials and have been tested for quality stringently as per the set industry standards. Full Kit for Youngsters as special discount for Dealers, Clubs and Cricket Association for the Summer Cricket Camps Offer Valid till 15th April,2014Features:  Complete set Outstanding quality Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/FH/PW/MY-3458336/cricket-club-kit-bdm-250x250.jpg,Cricket Club Kit
,"We are reckoned as one of the most established manufacturers, suppliers, and exporters of Cricket Balls such as Amazer Cricket Ball that is made from the finest grades of Alum Tanned Leather. These are designed for superior performance and have sturdy construction. We have used state of the art technologies and manufactured these balls on automated machines by applying uniform pressure from all sides to prevent the leather from de-shaping and offer seamless circumference. These have robust stitching and the cups are cut on machines to maintain evenness. We practice rigid norms of quality to manufacture these balls in accordance with various standards of the industry and sports authorities.Features: 
Long functional lifeUniform shape and bounceOther Information
			Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/KY/FQ/MY-3458336/cricket-ball-bdm-admiral-250x250.jpg,Amazer Cricket Ball
,"We are reckoned as one of the most established manufacturers, suppliers, and exporters of Cricket Balls such as Bullet Cricket Ball that is made from vegetarian tanned leather. These are designed for superior performance and have sturdy construction. We have used state of the art technologies and manufactured these balls on automated machines by applying uniform pressure from all sides to prevent the leather from de-shaping and offer seamless circumference. These have robust stitching and the cups are cut on machines to maintain evenness. We practice rigid norms of quality to manufacture these balls in accordance with various standards of the industry and sports authorities.Features:  Long functional life Uniform shape and bounce Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/OI/NT/MY-3458336/cricket-ball-bdm-bullet-250x250.jpg,Bullet Cricket Ball
,"We are reckoned as one of the prominent manufacturers, suppliers, and exporters of an entire gamut of Cricket Batting Elbow Guard. These are manufactured from the highest grades of raw materials in our state of the art manufacturing facilities by using cutting edge technologies. We maintain rigid norms of quality in accordance with international standards and offer a flawless range of these products to our valuable clients at reasonable prices.Features:  Unmatched protection and comfort Long service life Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/PL/BL/MY-3458336/cricket-protective-equipment-250x250.jpg,Cricket Batting Elbow Guard
,"We are reckoned as one of the prominent manufacturers, suppliers, and exporters of an entire gamut of Cricket Equipments such BDM Bands. These are manufactured from the highest grades of raw materials in our state of the art manufacturing facilities by using cutting edge technologies. We maintain rigid norms of quality in accordance with international standards and offer a flawless range of these products to our valuable clients at reasonable prices.Features:  Unmatched comfort Long service life Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/CM/WU/MY-3458336/bdm-bands-250x250.jpg,BDM Bands
,"We are reckoned as one of the prominent manufacturers, suppliers, and exporters of an entire gamut of Cricket Equipments such Stress Reliever. These are manufactured from the highest grades of raw materials in our state of the art manufacturing facilities by using cutting edge technologies. We maintain rigid norms of quality in accordance with international standards and offer a flawless range of these products to our valuable clients at reasonable prices.Features:  Unmatched comfort Long service life Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/WY/YX/MY-3458336/stress-reliever-250x250.jpg,Stress Reliever
,"We are reckoned as one of the prominent manufacturers, suppliers, and exporters of an entire gamut of Cricket Thigh Guard. These are manufactured from the best grades of raw materials in our ultra modern production facilities by using high end technologies. We follow rigid norms of quality by adhering to set industry standards and offer a flawless range of these products to our valuable clients at industry leading prices.Features:  Remarkable comfort and protection Highly durable Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/NC/YP/MY-3458336/protective-equipment-250x250.jpg,Cricket Thigh Guard
,"We are recognized as one of the most reputed manufacturers, suppliers, and exporters of a wide range of Cricket Kit Bags including Cricket Kit Bag BDM Amazer. These bags are made from very tough materials such as Tetron and are provided with robust and heavy duty straps for ease of transportation. These bags have durable and tough construction and can endure very rough use also. These are subjected to very rigid quality checks and offered in various specifications. Our prestigious clients can avail these at economical rates.Features:  Robust stitching Multiple compartments  Specification:  Size: 35” x 14” x 11” Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/OT/KQ/MY-3458336/cricket-kit-bag-bdm-amazer-250x250.jpg,Cricket Kit Bag BDM Amazer
,"We are regarded as one of the foremost manufacturers, suppliers, and exporters of a huge gamut of Cricket Accessories such as Miniature Cricket Bat. These are in high demand due to their exact resemblance with the professional bats. Cricket fans use these bats to take autographs of their favorite cricketers and to keep them as mementos. We use cutting edge technologies to manufacture these bats in our state of the art facilities by following stringent norms of quality. Our esteemed clients can avail these at very reasonable rates.Features:  Flawless finish Highly durable Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/BN/XE/MY-3458336/miniature-cricket-bat-250x250.jpg,Miniature Cricket Bat
,"We are regarded as one of the most reputed manufacturers, suppliers, and exporters of a wide array of Cricket Balls such as Shooting Star Cricket Ball that is made from supreme grades of vegetarian tanned leather. These are crafted for outstanding performance and have robust construction. We have used high end technologies and manufactured these balls on automated machines by applying uniform pressure from all sides to prevent the leather from de-shaping and offer textbook circumference. These have tough stitching and the cups are cut on machines to maintain evenness. We practice rigid norms of quality to manufacture these balls in accordance with various standards of cricket authorities and the industry.Features:  Long functional life Uniform shape and bounce Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/OL/HX/MY-3458336/cricket-ball-bdm-shooting-star-250x250.jpg,Shooting Star Cricket Ball
,"We are the leading manufacturer and supplier of a wide range of Inner Supporters. This design is used by Professional Sports persons worldwide. Our range is available in different styles, colors and fabrics to impart grace to the look of the wearer.Features:  Comfortable Skin friendly Perfectly stitched Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/PT/LD/MY-3458336/cricket-supporters-250x250.jpg,Inner Supporters
,"We have gained a sound reputation as one of the most trusted manufacturers, suppliers, and exporters of a wide spectrum of Cricket Kit Bags and are offering supreme Professional Cricket Kit Bag. These bags are made from the best grades of materials such as Tetron and are sufficiently large to accommodate complete cricket kit to be carried to the venue. These bags have durable and tough construction and can withstand very rough use also. We ensure rigid levels if quality norms that are in accordance with international standards. Features:  Robust construction Sturdy and durable stitching  Specification:  Size: 36” x 16” x 16” Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/WP/MX/MY-3458336/cricket-kit-bag-bdm-club-master-250x250.jpg,Professional Cricket Kit Bag
,"We offer a premium range of Cricket Wicket Keeping Gloves including Armstrong Wicket Keeping Gloves that are made from the highest grades of selected sambar leather. We have used high tech pimpled rubber for facing and designed in accordance with English Style Cut. We use cutting edge technologies to manufacture these and follow rigorous quality as well as ICC norms. These can be availed at reasonable rates.Features:  Perfect and comfort fit Robust stitching Other Information
			Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/CB/GO/MY-3458336/wicket-keeping-gloves-armstrong-250x250.jpg,Armstrong Wicket Keeping Gloves
,"We offer a premium range of Cricket Wicket Keeping Gloves including Galaxy Wicket Keeping Gloves that are made from the highest grades of selected leather. We have used high tech pimpled rubber for facing and designed in accordance with English Style Cut. We use cutting edge technologies to manufacture these and follow rigorous quality as well as ICC norms. These can be availed at reasonable rates.Features:  Perfect and comfort fit Robust stitching Men’s Size for seniors Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/PQ/RP/MY-3458336/cricket-wicket-keeping-gloves-bdm-galaxy-250x250.jpg,Galaxy Wicket Keeping Gloves
